scenario,inequality,moroder1_value,moroder_value,bound_local,violation,convergence
2244,3 3 3 -3 2 2 2 -2 2 1 2 -2 2 2 2 -2 2 2 2 -2 1 1 2 -1 2 2 1 -2 1 2 1 -1 0 2 2 0 -3 0 -2 0 -2 0 -3 0 -2 0 -2 0,0.07193786010753472,0.02791997847263423,0.0,0.02791997847263423,0.9955982118365098
2244,2 2 2 -2 2 1 2 -2 2 0 2 -1 2 2 1 -2 2 1 1 -1 1 1 2 0 2 2 0 -1 1 2 1 0 1 1 1 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0,0.08045177381644009,0.03522401550602419,0.0,0.03522401550602419,0.9954772241689585
2244,3 3 3 -3 2 2 2 -2 1 1 1 -1 2 2 2 -2 2 1 1 -1 1 1 1 0 1 1 1 -1 1 1 1 0 1 0 0 0 -3 0 -2 0 -1 0 -3 0 -2 0 -1 0,0.061903614528197815,0.014846076587471224,0.0,0.014846076587471224,0.9952942462059273
3233,1 1 1 0 1 -1 1 0 1 1 1 -1 1 1 1 0 1 -1 1 0 1 1 1 -1 -1 -1 0 -1 -1 0 -1 0 -1 0,0.07487203881494794,0.027650092398715173,0.0,0.027650092398715173,0.9952778053583767
2244,2 2 2 -2 2 1 1 -2 1 0 1 0 2 2 1 -2 1 2 2 -1 1 0 1 -1 0 1 1 -1 1 1 1 -1 0 1 1 0 -2 0 -2 0 -1 0 -2 0 -2 0 -1 0,0.0757657546954425,0.028504389281719732,0.0,0.028504389281719732,0.9952738634586277
3233,1 1 1 0 1 -1 1 1 1 -1 1 0 1 1 1 0 1 -1 1 1 1 -1 1 0 -1 0 0 -1 0 0 -2 0 -2 0,0.07487197787505229,0.026296339286963982,0.0,0.026296339286963982,0.9951424361411911
3233,2 2 1 -1 1 -1 2 1 1 -1 1 -1 2 2 1 -1 0 -1 2 1 0 0 1 0 -2 0 0 -2 0 0 -2 0 -2 0,0.08328515158054829,0.034249762471423154,0.0,0.034249762471423154,0.9950964610890874
2244,2 2 2 -2 2 1 1 -2 2 0 2 -1 2 2 1 -1 1 2 2 0 1 1 2 1 0 0 1 -1 1 0 1 -1 0 -1 1 0 -2 0 -2 -1 0 0 -2 0 -2 0 -2 0,0.06990454074955262,0.020153274958110673,0.0,0.020153274958110673,0.9950248734208558
3233,2 2 1 -1 1 -1 2 1 1 -1 1 -1 0 0 1 -1 0 -1 0 0 0 0 1 0 -2 0 0 0 0 0 -2 0 -2 0,0.08328522733536929,0.03242280529168054,0.0,0.03242280529168054,0.9949137577956311
2244,2 2 2 -2 1 1 1 -1 1 1 1 -1 1 1 1 -1 2 2 0 0 1 1 1 0 1 1 1 -1 1 1 -1 1 1 0 0 0 -2 0 -2 0 -1 0 -2 0 -1 -1 -1 0,0.07092968402545365,0.018583967682892368,0.0,0.018583967682892368,0.9947654283657437
3233,1 1 1 -1 0 -1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 -1 0 0 -1 0 0 -1 0 -1 0,0.07487196948119745,0.020796314713004638,0.0,0.020796314713004638,0.9945924345231807
3233,2 2 1 0 1 -1 1 1 1 1 1 -1 2 2 1 -1 1 -1 1 1 0 0 1 -1 -2 -1 0 -2 0 0 -2 0 -1 0,0.09121736207779287,0.03426681108525918,0.0,0.03426681108525918,0.9943049449007468
3233,2 2 1 -1 1 -1 1 1 1 -1 0 0 2 2 0 -1 1 -1 1 1 1 0 0 0 -2 0 0 -2 0 0 -2 0 -1 0,0.09121731203243541,0.033731462136711465,0.0,0.033731462136711465,0.9942514150104275
3233,2 2 1 -1 1 -1 2 1 1 -1 1 -1 1 1 1 -1 0 -1 1 1 0 0 1 0 -2 0 0 -1 0 0 -2 0 -2 0,0.09166290851230968,0.033718542915539586,0.0,0.033718542915539586,0.9942055634403231
3233,1 1 1 -1 1 -1 1 1 1 -1 0 0 1 1 1 0 1 -1 1 1 0 -1 0 0 -1 0 0 -1 0 0 -2 0 -1 0,0.09270989212811462,0.03313324674281867,0.0,0.03313324674281867,0.9940423354614705
3233,1 1 1 -1 1 -1 1 1 1 -1 0 0 0 0 1 0 1 -1 0 0 0 -1 0 0 -1 0 0 0 0 0 -2 0 -1 0,0.09270991528704439,0.03189420572724723,0.0,0.03189420572724723,0.9939184290440204
3233,2 2 1 -1 1 -1 1 1 1 0 1 -1 1 1 1 -1 0 0 1 1 1 0 1 -1 -2 0 0 -1 0 0 -2 0 -2 0,0.09262812759635544,0.0312047779145617,0.0,0.0312047779145617,0.9938576650318206
3332,1 1 0 1 0 1 1 0 -1 1 1 0 0 1 1 0 1 -1 -1 -1 0 -1 -1 0 -1 -1 0,0.07466548110625476,0.013176523908474652,0.0,0.013176523908474652,0.993851104280222
3233,2 2 1 0 1 -1 1 1 1 1 1 -1 1 1 1 -1 1 -1 1 0 0 0 1 -1 -2 -1 0 -1 0 0 -2 0 -1 0,0.09711412710454734,0.03480876398208954,0.0,0.03480876398208954,0.9937694636877543
3233,2 2 1 -1 1 -1 1 1 1 0 1 -1 1 1 0 0 0 0 1 1 0 0 1 -1 -2 0 0 -1 0 0 -2 0 -2 0,0.09262812296146061,0.030037432024641705,0.0,0.030037432024641705,0.9937409309063181
3233,1 1 1 0 1 -1 1 0 1 1 1 -1 1 1 1 0 0 0 1 0 1 1 0 0 -1 -1 0 -1 -1 0 -1 0 -1 0,0.07487205145558679,0.012133358867908534,0.0,0.012133358867908534,0.9937261307412321
3233,1 1 1 0 1 -1 1 1 1 -1 1 0 1 1 1 0 0 0 1 1 1 -1 0 0 -1 0 0 -1 0 0 -2 0 -2 0,0.0748720072725661,0.011901878518409025,0.0,0.011901878518409025,0.9937029871245843
3332,1 1 0 1 0 1 1 0 -1 1 1 0 1 -1 0 1 -1 0 -1 -1 0 -1 0 0 -2 0 0,0.07466552755292771,0.011534493807157948,0.0,0.011534493807157948,0.9936868966254231
3233,1 1 1 0 1 -1 1 0 1 1 1 -1 1 1 0 0 0 0 1 0 0 0 0 0 -1 -1 0 -1 0 0 -1 0 -1 0,0.07487197091665329,0.01068782471194113,0.0,0.01068782471194113,0.9935815853795287
3233,1 1 1 0 1 -1 1 1 1 -1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 -1 0 0 -1 0 0 -2 0 -2 0,0.07487198724140043,0.010392209490399873,0.0,0.010392209490399873,0.9935520222249
3233,2 2 2 -2 0 0 1 1 1 -1 1 -1 1 1 1 -1 0 0 1 1 1 0 1 -1 -2 0 0 -1 0 0 -2 0 -2 0,0.09998657229509325,0.03532935046249458,0.0,0.03532935046249458,0.9935342778167403
3332,1 1 1 1 0 -1 0 0 0 1 1 1 0 1 -1 0 0 0 -1 0 0 -1 0 0 -1 -1 0,0.07487197302248014,0.00984245995789712,0.0,0.00984245995789712,0.9934970486935416
3233,1 1 1 0 1 -1 1 1 1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 -2 0 -2 0,0.0748719663042375,0.009261552981157757,0.0,0.009261552981157757,0.9934389586676919
3332,1 1 1 1 0 -1 0 0 0 1 1 1 1 -1 0 0 0 0 -2 0 0 -2 0 0 -1 0 0,0.07487197455145043,0.009261552981625648,0.0,0.009261552981625648,0.9934389578430174
3233,2 2 2 -2 0 0 1 1 1 -1 1 1 2 2 2 -2 0 0 1 1 1 -1 1 1 -2 0 -1 -2 0 -1 -2 0 -1 0,0.11493114555254459,0.04057619398615003,0.0,0.04057619398615003,0.9925645048433605
3233,1 1 1 0 1 -1 1 0 1 1 1 -1 1 1 1 -1 1 0 0 1 0 0 0 -1 -1 -1 0 -1 0 0 -2 0 -1 0,0.10877677747811244,0.03341511411958754,0.0,0.03341511411958754,0.9924638336641476
3233,2 2 2 -2 1 -1 2 1 1 -1 1 -1 2 2 1 -1 1 0 1 2 1 0 0 -1 -2 0 0 -2 0 0 -3 0 -2 0,0.104544273497405,0.029158154642996266,0.0,0.029158154642996266,0.9924613881145591
